threshold,fpr,fnr
0.99786466,0.00473180,0.96745562
0.99786174,0.00474144,0.96745562
0.99786150,0.00475107,0.96745562
0.99786019,0.00476071,0.96745562
0.99785864,0.00477035,0.96745562
0.99785829,0.00477999,0.96745562
0.99785423,0.00478962,0.96745562
0.99785304,0.00479926,0.96745562
0.99785101,0.00480890,0.96745562
0.99785006,0.00481853,0.96745562
0.99784768,0.00482817,0.96745562
0.99784690,0.00483781,0.96745562
0.99784565,0.00484745,0.96745562
0.99783838,0.00485708,0.96745562
0.99783731,0.00486672,0.96745562
0.99783432,0.00487636,0.96745562
0.99783421,0.00488599,0.96745562
0.99783379,0.00489563,0.96745562
0.99783361,0.00490527,0.96745562
0.99782622,0.00491490,0.96745562
0.99782550,0.00492454,0.96745562
0.99782538,0.00493418,0.96745562
0.99782264,0.00494382,0.96745562
0.99782115,0.00495345,0.96745562
0.99781907,0.00496309,0.96745562
0.99781811,0.00497273,0.96745562
0.99781424,0.00498236,0.96745562
0.99781358,0.00499200,0.96745562
0.99781275,0.00500164,0.96745562
0.99781156,0.00501128,0.96745562
0.99781114,0.00502091,0.96745562
0.99781066,0.00503055,0.96745562
0.99780905,0.00504019,0.96745562
0.99780709,0.00504982,0.96745562
0.99780381,0.00505946,0.96745562
0.99780196,0.00506910,0.96745562
0.99779892,0.00507873,0.96745562
0.99779475,0.00508837,0.96745562
0.99779415,0.00509801,0.96745562
0.99778986,0.00510765,0.96745562
0.99778521,0.00511728,0.96745562
0.99778444,0.00512692,0.96745562
0.99778068,0.00513656,0.96745562
0.99777991,0.00514619,0.96745562
0.99777555,0.00515583,0.96745562
0.99777371,0.00516547,0.96745562
0.99777198,0.00517511,0.96745562
0.99777067,0.00518474,0.96745562
0.99777055,0.00519438,0.96745562
0.99776810,0.00520402,0.96745562
0.99776769,0.00521365,0.96745562
0.99775922,0.00522329,0.96745562
0.99775493,0.00523293,0.96745562
0.99775171,0.00524257,0.96745562
0.99775165,0.00525220,0.96745562
0.99775147,0.00526184,0.96745562
0.99774873,0.00527148,0.96745562
0.99774706,0.00528111,0.96745562
0.99774611,0.00529075,0.96745562
0.99774516,0.00530039,0.96745562
0.99773908,0.00531002,0.96745562
0.99773413,0.00531966,0.96745562
0.99772990,0.00532930,0.96745562
0.99772954,0.00533894,0.96745562
0.99772900,0.00534857,0.96745562
0.99772775,0.00535821,0.96745562
0.99772608,0.00536785,0.96745562
0.99772441,0.00537748,0.96745562
0.99772358,0.00538712,0.96745562
0.99772179,0.00539676,0.96745562
0.99771863,0.00539676,0.96449704
0.99771845,0.00540640,0.96449704
0.99771690,0.00541603,0.96449704
0.99771392,0.00542567,0.96449704
0.99771363,0.00543531,0.96449704
0.99771357,0.00544494,0.96449704
0.99771190,0.00545458,0.96449704
0.99771059,0.00546422,0.96449704
0.99770808,0.00547385,0.96449704
0.99770331,0.00548349,0.96449704
0.99769711,0.00549313,0.96449704
0.99769485,0.00550277,0.96449704
0.99769455,0.00551240,0.96449704
0.99768651,0.00552204,0.96449704
0.99768645,0.00553168,0.96449704
0.99768472,0.00554131,0.96449704
0.99768364,0.00555095,0.96449704
0.99767900,0.00556059,0.96449704
0.99767864,0.00557023,0.96449704
0.99767792,0.00557986,0.96449704
0.99767303,0.00558950,0.96449704
0.99767256,0.00559914,0.96449704
0.99767208,0.00560877,0.96449704
0.99766862,0.00561841,0.96449704
0.99766803,0.00562805,0.96449704
0.99766743,0.00563768,0.96449704
0.99766636,0.00564732,0.96449704
0.99765605,0.00565696,0.96449704
0.99765384,0.00566660,0.96449704
0.99765086,0.00567623,0.96449704
0.99764228,0.00568587,0.96449704
0.99764001,0.00569551,0.96449704
0.99763799,0.00570514,0.96449704
0.99763638,0.00571478,0.96449704
0.99763566,0.00572442,0.96449704
0.99763298,0.00573406,0.96449704
0.99762774,0.00574369,0.96449704
0.99762493,0.00575333,0.96449704
0.99762428,0.00576297,0.96449704
0.99762386,0.00577260,0.96449704
